Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
4113.87236710245	4114.15553319245	All Maybe Montana.wav	9039	Spectrogram 1	1	Large Training Set.wav-24	0.353690883328896
4219.52561523619	4219.78806185619	All Maybe Montana.wav	30333	Spectrogram 1	1	Large Training Set.wav-46	0.358631309488025
4229.66986089195	4229.95302698195	All Maybe Montana.wav	9044	Spectrogram 1	1	Large Training Set.wav-24	0.351370666320359
4262.23523934988	4262.51840543988	All Maybe Montana.wav	9092	Spectrogram 1	1	Large Training Set.wav-24	0.368489588809233
4264.69924276416	4264.98240885416	All Maybe Montana.wav	9093	Spectrogram 1	1	Large Training Set.wav-24	0.359408784515704
4265.66991077584	4265.95307686584	All Maybe Montana.wav	9094	Spectrogram 1	1	Large Training Set.wav-24	0.355648594944611
4272.06991964409	4272.35308573409	All Maybe Montana.wav	9095	Spectrogram 1	1	Large Training Set.wav-24	0.353977418524824
4640.08109624979	4640.36426233979	All Maybe Montana.wav	9141	Spectrogram 1	1	Large Training Set.wav-24	0.358208727196258
4654.43844947756	4654.72161556756	All Maybe Montana.wav	9153	Spectrogram 1	1	Large Training Set.wav-24	0.361406545496145
4980.84929505283	4981.11174167283	All Maybe Montana.wav	30440	Spectrogram 1	1	Large Training Set.wav-46	0.353482189727018
5101.7350692794	5102.0182353694	All Maybe Montana.wav	9277	Spectrogram 1	1	Large Training Set.wav-24	0.351722796525643
5617.6504508303	5617.9336169203	All Maybe Montana.wav	9300	Spectrogram 1	1	Large Training Set.wav-24	0.352408738834311
5621.33045592954	5621.61362201954	All Maybe Montana.wav	9305	Spectrogram 1	1	Large Training Set.wav-24	0.350355185261212
5623.50865820669	5623.81945026669	All Maybe Montana.wav	19068	Spectrogram 1	1	Large Training Set.wav-70	0.356184491657755
6493.95033175223	6494.23349784223	All Maybe Montana.wav	9323	Spectrogram 1	1	Large Training Set.wav-24	0.357315141450004
6503.9343455867	6504.2175116767	All Maybe Montana.wav	9353	Spectrogram 1	1	Large Training Set.wav-24	0.354297236085713
6509.34235308037	6509.62551917037	All Maybe Montana.wav	9385	Spectrogram 1	1	Large Training Set.wav-24	0.35262206607941
6515.51836163823	6515.80152772823	All Maybe Montana.wav	9405	Spectrogram 1	1	Large Training Set.wav-24	0.367483524780293
6516.13702916216	6516.42019525216	All Maybe Montana.wav	9406	Spectrogram 1	1	Large Training Set.wav-24	0.352624437834767
6518.48369908052	6518.76686517052	All Maybe Montana.wav	9419	Spectrogram 1	1	Large Training Set.wav-24	0.35039110995912
6536.25694659417	6536.56773865417	All Maybe Montana.wav	19192	Spectrogram 1	1	Large Training Set.wav-70	0.364358139852351
6677.38525259766	6677.66841868766	All Maybe Montana.wav	9558	Spectrogram 1	1	Large Training Set.wav-24	0.358993950653125
6907.96690543919	6908.25007152919	All Maybe Montana.wav	9664	Spectrogram 1	1	Large Training Set.wav-24	0.355711081038781
6921.72692450592	6922.01009059592	All Maybe Montana.wav	9665	Spectrogram 1	1	Large Training Set.wav-24	0.351878107141496
6984.5319615022	6984.7944081222	All Maybe Montana.wav	30658	Spectrogram 1	1	Large Training Set.wav-46	0.360065957350993
6990.82530321055	6991.08774983055	All Maybe Montana.wav	30674	Spectrogram 1	1	Large Training Set.wav-46	0.355184920996427
6994.06042666081	6994.37121872081	All Maybe Montana.wav	19552	Spectrogram 1	1	Large Training Set.wav-70	0.358008420228628
7225.48201207441	7225.7651781644	All Maybe Montana.wav	9704	Spectrogram 1	1	Large Training Set.wav-24	0.351727240789021
7248.39404382273	7248.67720991273	All Maybe Montana.wav	9710	Spectrogram 1	1	Large Training Set.wav-24	0.359899842336978
7264.79939988834	7265.08256597834	All Maybe Montana.wav	9726	Spectrogram 1	1	Large Training Set.wav-24	0.353821318115996
7291.75410390511	7292.03726999511	All Maybe Montana.wav	9730	Spectrogram 1	1	Large Training Set.wav-24	0.35164880029954
7326.1221515276	7326.4053176176	All Maybe Montana.wav	10437	Spectrogram 1	1	Large Training Set.wav-24	0.350256524466742
7347.08218057111	7347.36534666111	All Maybe Montana.wav	10455	Spectrogram 1	1	Large Training Set.wav-24	0.353379629465922
7363.58353676975	7363.86670285975	All Maybe Montana.wav	10459	Spectrogram 1	1	Large Training Set.wav-24	0.350619607986978
7375.29555299864	7375.57871908864	All Maybe Montana.wav	10463	Spectrogram 1	1	Large Training Set.wav-24	0.353386435554498
7397.98358443658	7398.26675052658	All Maybe Montana.wav	10495	Spectrogram 1	1	Large Training Set.wav-24	0.353846888337907
7412.16250285486	7412.47329491485	All Maybe Montana.wav	20205	Spectrogram 1	1	Large Training Set.wav-70	0.351786705394209
7420.07428171348	7420.35744780348	All Maybe Montana.wav	10527	Spectrogram 1	1	Large Training Set.wav-24	0.356237962245634
7460.25567072463	7460.53883681463	All Maybe Montana.wav	11247	Spectrogram 1	1	Large Training Set.wav-24	0.35066631489425
7489.41837780095	7489.70154389094	All Maybe Montana.wav	11668	Spectrogram 1	1	Large Training Set.wav-24	0.353495278278678
7490.41037917552	7490.69354526552	All Maybe Montana.wav	11672	Spectrogram 1	1	Large Training Set.wav-24	0.350643179161518
7493.52505015807	7493.80821624807	All Maybe Montana.wav	11690	Spectrogram 1	1	Large Training Set.wav-24	0.35007505486996
7510.15440653407	7510.43757262407	All Maybe Montana.wav	11794	Spectrogram 1	1	Large Training Set.wav-24	0.352996996709472
7598.29319533129	7598.57636142129	All Maybe Montana.wav	11901	Spectrogram 1	1	Large Training Set.wav-24	0.36654053387037
7659.28527984569	7659.56844593569	All Maybe Montana.wav	11933	Spectrogram 1	1	Large Training Set.wav-24	0.358546075836621
7699.66933580433	7699.95250189433	All Maybe Montana.wav	11963	Spectrogram 1	1	Large Training Set.wav-24	0.350550017841633
7722.51736746398	7722.80053355398	All Maybe Montana.wav	12010	Spectrogram 1	1	Large Training Set.wav-24	0.352195495847564
7729.09870991683	7729.38187600683	All Maybe Montana.wav	12013	Spectrogram 1	1	Large Training Set.wav-24	0.353040283196586
7804.58681451781	7804.86998060781	All Maybe Montana.wav	12046	Spectrogram 1	1	Large Training Set.wav-24	0.367501830489642
7812.2881585226	7812.5713246126	All Maybe Montana.wav	12047	Spectrogram 1	1	Large Training Set.wav-24	0.357619051535865
7849.51444593198	7849.77689255198	All Maybe Montana.wav	32673	Spectrogram 1	1	Large Training Set.wav-46	0.35753956766769
7911.78696306096	7912.07012915096	All Maybe Montana.wav	12073	Spectrogram 1	1	Large Training Set.wav-24	0.369692766779707
8085.42987033797	8085.71303642797	All Maybe Montana.wav	12284	Spectrogram 1	1	Large Training Set.wav-24	0.361957099076692
8091.49170984952	8091.80250190952	All Maybe Montana.wav	21648	Spectrogram 1	1	Large Training Set.wav-70	0.363572666730078
8163.75531220388	8164.03847829388	All Maybe Montana.wav	12348	Spectrogram 1	1	Large Training Set.wav-24	0.356174958536864
8242.30475438017	8242.58792047017	All Maybe Montana.wav	12434	Spectrogram 1	1	Large Training Set.wav-24	0.352140701629685
8435.57435551981	8435.85752160981	All Maybe Montana.wav	12557	Spectrogram 1	1	Large Training Set.wav-24	0.353233408781475
8479.84108352519	8480.12424961519	All Maybe Montana.wav	12624	Spectrogram 1	1	Large Training Set.wav-24	0.366538415491675
8691.22270976197	8691.50587585197	All Maybe Montana.wav	12859	Spectrogram 1	1	Large Training Set.wav-24	0.361017579349873
8699.62079033973	8699.93158239973	All Maybe Montana.wav	22512	Spectrogram 1	1	Large Training Set.wav-70	0.356979509882089
8995.09864866183	8995.40944072183	All Maybe Montana.wav	22780	Spectrogram 1	1	Large Training Set.wav-70	0.367109387158384
8998.13513503879	8998.41830112879	All Maybe Montana.wav	13199	Spectrogram 1	1	Large Training Set.wav-24	0.359319487376042
9102.64727985728	9102.93044594728	All Maybe Montana.wav	13228	Spectrogram 1	1	Large Training Set.wav-24	0.354908445602724
9106.34151297868	9106.65230503868	All Maybe Montana.wav	22813	Spectrogram 1	1	Large Training Set.wav-70	0.351810853004642
9108.26862097989	9108.55178706989	All Maybe Montana.wav	13229	Spectrogram 1	1	Large Training Set.wav-24	0.356772915113219
9305.8405341042	9306.1513261642	All Maybe Montana.wav	22986	Spectrogram 1	1	Large Training Set.wav-70	0.351412806108467
9524.25853073455	9524.54169682455	All Maybe Montana.wav	13651	Spectrogram 1	1	Large Training Set.wav-24	0.350945964763372
9539.54388524821	9539.82705133821	All Maybe Montana.wav	13733	Spectrogram 1	1	Large Training Set.wav-24	0.371483080362349
