Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
71.2642027016919	71.7073213197693	Maybe Montana 3&4.wav	2304	Spectrogram 1	1	Large Training Set.wav-70	0.364491038312388
78.9442245465083	79.3936836675952	Maybe Montana 3&4.wav	2306	Spectrogram 1	1	Large Training Set.wav-70	0.350381512883544
89.6109215531977	90.1073613095172	Maybe Montana 3&4.wav	2311	Spectrogram 1	1	Large Training Set.wav-70	0.351641383399437
92.2349290168433	92.7746389689206	Maybe Montana 3&4.wav	2315	Spectrogram 1	1	Large Training Set.wav-70	0.360360831025714
93.9416005379136	94.4273706984145	Maybe Montana 3&4.wav	2323	Spectrogram 1	1	Large Training Set.wav-70	0.353541739125717
96.2882738793852	96.9297335465926	Maybe Montana 3&4.wav	2327	Spectrogram 1	1	Large Training Set.wav-70	0.360009376413628
99.0402817071111	99.4684074341847	Maybe Montana 3&4.wav	2338	Spectrogram 1	1	Large Training Set.wav-70	0.358154925061786
100.181618286827	100.759077771994	Maybe Montana 3&4.wav	2343	Spectrogram 1	1	Large Training Set.wav-70	0.353453409291244
101.49362201865	102.305748837964	Maybe Montana 3&4.wav	2353	Spectrogram 1	1	Large Training Set.wav-70	0.356931014546088
103.13629335768	104.183087511141	Maybe Montana 3&4.wav	2370	Spectrogram 1	1	Large Training Set.wav-70	0.361358553878179
105.056298818884	105.601758213031	Maybe Montana 3&4.wav	2385	Spectrogram 1	1	Large Training Set.wav-70	0.369260336982311
107.146971432195	107.521763674235	Maybe Montana 3&4.wav	2393	Spectrogram 1	1	Large Training Set.wav-70	0.364048703071734
107.605639403483	108.21509897967	Maybe Montana 3&4.wav	2396	Spectrogram 1	1	Large Training Set.wav-70	0.361493017295692
109.034976802379	109.377768953399	Maybe Montana 3&4.wav	2406	Spectrogram 1	1	Large Training Set.wav-70	0.367600542910918
114.890993459052	115.329785883132	Maybe Montana 3&4.wav	2408	Spectrogram 1	1	Large Training Set.wav-70	0.359945049504398
126.592275129466	126.907441289013	Maybe Montana 3&4.wav	541	Spectrogram 1	1	Large Training Set.wav-24	0.350047438461871
136.096282967817	136.667462500966	Maybe Montana 3&4.wav	3627	Spectrogram 1	1	Large Training Set.wav-46	0.370540227582017
172.171040854795	173.392875651518	Maybe Montana 3&4.wav	545	Spectrogram 1	1	Large Training Set.wav-24	0.38364858667389
176.181834459489	177.766218489661	Maybe Montana 3&4.wav	2434	Spectrogram 1	1	Large Training Set.wav-70	0.414625281211856
177.867172586546	178.231298131579	Maybe Montana 3&4.wav	2461	Spectrogram 1	1	Large Training Set.wav-70	0.357229706109233
181.408515992767	182.022227739464	Maybe Montana 3&4.wav	2463	Spectrogram 1	1	Large Training Set.wav-70	0.393869972035404
190.891081540017	191.558248464585	Maybe Montana 3&4.wav	577	Spectrogram 1	1	Large Training Set.wav-24	0.354335398433334
195.403091346198	195.739590885444	Maybe Montana 3&4.wav	582	Spectrogram 1	1	Large Training Set.wav-24	0.357643308652589
