Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
55	Spectrogram 1	1	1930.821272	1931.132064	0	24000	0.3108	24000	-66.32	LARGE DEMO SET.wav
56	Spectrogram 1	1	2044.357582	2044.817708	0	24000	0.4601	24000	-66.09	LARGE DEMO SET.wav
57	Spectrogram 1	1	2050.309598	2050.68439	0	24000	0.3748	24000	-66.96	LARGE DEMO SET.wav
58	Spectrogram 1	1	2342.407714	2342.69088	0	24000	0.2832	24000	-77.58	LARGE DEMO SET.wav
59	Spectrogram 1	1	2366.898461	2367.181627	0	24000	0.2832	24000	-84.09	LARGE DEMO SET.wav
60	Spectrogram 1	1	2367.965131	2368.248297	0	24000	0.2832	24000	-88.13	LARGE DEMO SET.wav
61	Spectrogram 1	1	2380.786507	2381.155006	0	24000	0.3685	24000	-81.82	LARGE DEMO SET.wav
62	Spectrogram 1	1	2393.223881	2393.571047	0	24000	0.3472	24000	-77.62	LARGE DEMO SET.wav
63	Spectrogram 1	1	2402.247911	2402.531077	0	24000	0.2832	24000	-76.68	LARGE DEMO SET.wav
64	Spectrogram 1	1	2404.914586	2405.283086	0	24000	0.3685	24000	-80.16	LARGE DEMO SET.wav
65	Spectrogram 1	1	2483.314844	2483.705155	0	24000	0.3903	24000	-91.91	LARGE DEMO SET.wav
66	Spectrogram 1	1	2487.005387	2487.267833	0	24000	0.2624	24000	-93.38	LARGE DEMO SET.wav
67	Spectrogram 1	1	2650.737904	2651.048696	0	24000	0.3108	24000	-66.26	LARGE DEMO SET.wav
68	Spectrogram 1	1	2806.17211	2806.521741	0	24000	0.3496	24000	-83.33	LARGE DEMO SET.wav
69	Spectrogram 1	1	2806.643909	2806.955766	0	24000	0.3119	24000	-81.72	LARGE DEMO SET.wav
70	Spectrogram 1	1	2808.990584	2810.00644	0	24000	1.0159	24000	-82.12	LARGE DEMO SET.wav
71	Spectrogram 1	1	2829.022494	2829.284941	0	24000	0.2624	24000	-94.26	LARGE DEMO SET.wav
72	Spectrogram 1	1	2849.863781	2850.340551	0	24000	0.4768	24000	-92.44	LARGE DEMO SET.wav
73	Spectrogram 1	1	3106.781816	3107.092608	0	24000	0.3108	24000	-66.45	LARGE DEMO SET.wav
74	Spectrogram 1	1	3162.653969	3163.280689	0	24000	0.6267	24000	-87.11	LARGE DEMO SET.wav
75	Spectrogram 1	1	3317.427725	3317.926091	0	24000	0.4984	24000	-85.08	LARGE DEMO SET.wav
76	Spectrogram 1	1	3397.918611	3398.357404	0	24000	0.4388	24000	-71.53	LARGE DEMO SET.wav
77	Spectrogram 1	1	3404.169295	3404.480087	0	24000	0.3108	24000	-67.68	LARGE DEMO SET.wav
78	Spectrogram 1	1	3448.777417	3449.152209	0	24000	0.3748	24000	-71.95	LARGE DEMO SET.wav
79	Spectrogram 1	1	3645.065953	3645.376745	0	24000	0.3108	24000	-69.07	LARGE DEMO SET.wav
80	Spectrogram 1	1	3655.969172	3656.401873	0	24000	0.4327	24000	-77.12	LARGE DEMO SET.wav
81	Spectrogram 1	1	3679.820118	3680.146363	0	24000	0.3262	24000	-84.69	LARGE DEMO SET.wav
82	Spectrogram 1	1	3685.002062	3687.48886	0	24000	2.4868	24000	-78.33	LARGE DEMO SET.wav
83	Spectrogram 1	1	3687.732736	3688.384862	0	24000	0.6521	24000	-85.35	LARGE DEMO SET.wav
84	Spectrogram 1	1	3688.394071	3689.515532	0	24000	1.1215	24000	-79.85	LARGE DEMO SET.wav
85	Spectrogram 1	1	3689.652741	3690.027533	0	24000	0.3748	24000	-83.27	LARGE DEMO SET.wav
86	Spectrogram 1	1	3690.378076	3691.179536	0	24000	0.8015	24000	-72.57	LARGE DEMO SET.wav
87	Spectrogram 1	1	3692.255415	3693.035542	0	24000	0.7801	24000	-60.78	LARGE DEMO SET.wav
88	Spectrogram 1	1	3700.767438	3701.654232	0	24000	0.8868	24000	-60.53	LARGE DEMO SET.wav
89	Spectrogram 1	1	3710.02613	3710.571589	0	24000	0.5455	24000	-78.5	LARGE DEMO SET.wav
90	Spectrogram 1	1	3715.466145	3716.480939	0	24000	1.0148	24000	-78.39	LARGE DEMO SET.wav
